num_of_agents,items_per_agent,value_noise_ratio,alpha,algorithm,seed,success,max_overload,runtime,num_items,instance_size
20,3,0.0,0.8,hffd_nadav,0,1,-0.160000000000025,0.0007309979991987,60,1200
20,3,0.0,0.8,hffd_nadav,1,1,-0.8800000000000239,0.000653050999972,60,1200
20,3,0.0,0.8,hffd_nadav,2,1,-0.6400000000000148,0.0007308369968086,60,1200
20,3,0.0,0.8,hffd_nadav,3,1,-0.7999999999999972,0.0008721259946469,60,1200
20,3,0.0,0.8,hffd_nadav,4,1,-0.960000000000008,0.0008459200034849,60,1200
20,3,0.0,1.0,hffd_nadav,0,1,-0.1999999999999886,0.0008049559983192,60,1200
20,3,0.0,1.0,hffd_nadav,1,1,-0.5999999999999943,0.0006815790111431,60,1200
20,3,0.0,1.0,hffd_nadav,2,1,-0.0500000000000113,0.0007782239990774,60,1200
20,3,0.0,1.0,hffd_nadav,3,1,-0.25,0.0006677259952994,60,1200
20,3,0.0,1.0,hffd_nadav,4,1,-0.9499999999999886,0.000668074004352,60,1200
20,3,0.0,1.2,hffd_nadav,0,1,-0.2399999999999806,0.0014754099975107,60,1200
20,3,0.0,1.2,hffd_nadav,1,1,-0.3199999999999932,0.0008247289952123,60,1200
20,3,0.0,1.2,hffd_nadav,2,1,-0.4599999999999795,0.0009731280006235,60,1200
20,3,0.0,1.2,hffd_nadav,3,1,-0.6999999999999886,0.0006647739937761,60,1200
20,3,0.0,1.2,hffd_nadav,4,1,-0.9399999999999976,0.0007910949934739,60,1200
20,3,0.3,0.8,hffd_nadav,0,1,-0.4389209852753879,0.0006470469961641,60,1200
20,3,0.3,0.8,hffd_nadav,1,1,-0.2547314284487498,0.0006437650008592,60,1200
20,3,0.3,0.8,hffd_nadav,2,1,-0.0938906523720959,0.0008270809921668,60,1200
20,3,0.3,0.8,hffd_nadav,3,1,-0.2292236771002365,0.0006755409995093,60,1200
20,3,0.3,0.8,hffd_nadav,4,1,-0.1785093796115973,0.0007594399939989,60,1200
20,3,0.3,1.0,hffd_nadav,0,1,-0.2053243822036847,0.0006380459963111,60,1200
20,3,0.3,1.0,hffd_nadav,1,1,-0.0533450975025857,0.0007126709970179,60,1200
20,3,0.3,1.0,hffd_nadav,2,1,-0.8011140277745028,0.0007101740047801,60,1200
20,3,0.3,1.0,hffd_nadav,3,1,-0.2539125518304388,0.0007523530075559,60,1200
20,3,0.3,1.0,hffd_nadav,4,1,-0.3279511513791817,0.0006784069992136,60,1200
20,3,0.3,1.2,hffd_nadav,0,1,-0.0742377528983126,0.000796722000814,60,1200
20,3,0.3,1.2,hffd_nadav,1,1,-0.3257502983252891,0.0007437769963871,60,1200
20,3,0.3,1.2,hffd_nadav,2,1,-0.9487187653094225,0.0006550480029545,60,1200
20,3,0.3,1.2,hffd_nadav,3,1,-0.3148178692086674,0.0007159889937611,60,1200
20,3,0.3,1.2,hffd_nadav,4,1,-0.0488203813638108,0.0008567009936086,60,1200
20,6,0.0,0.8,hffd_nadav,0,1,-0.6399999999999864,0.001303381010075,120,2400
20,6,0.0,0.8,hffd_nadav,1,1,-0.3600000000000136,0.0010287659970344,120,2400
20,6,0.0,0.8,hffd_nadav,2,1,-0.0800000000000409,0.0010608690063236,120,2400
20,6,0.0,0.8,hffd_nadav,3,1,-0.6000000000000227,0.0010466289968462,120,2400
20,6,0.0,0.8,hffd_nadav,4,1,-0.6399999999999864,0.0013869679969502,120,2400
20,6,0.0,1.0,hffd_nadav,0,1,-0.5500000000000114,0.0012358730018604,120,2400
20,6,0.0,1.0,hffd_nadav,1,1,-0.9499999999999886,0.0011846070119645,120,2400
20,6,0.0,1.0,hffd_nadav,2,1,-0.6000000000000227,0.0017139359988505,120,2400
20,6,0.0,1.0,hffd_nadav,3,1,-0.25,0.0012218199990456,120,2400
20,6,0.0,1.0,hffd_nadav,4,1,-0.5500000000000114,0.0015739609953016,120,2400
20,6,0.0,1.2,hffd_nadav,0,1,-0.4599999999999795,0.0010764659964479,120,2400
20,6,0.0,1.2,hffd_nadav,1,1,-0.5399999999999636,0.0018207210086984,120,2400
20,6,0.0,1.2,hffd_nadav,2,1,-0.1200000000000045,0.0012798019888577,120,2400
20,6,0.0,1.2,hffd_nadav,3,1,-0.8999999999999773,0.0012126460060244,120,2400
20,6,0.0,1.2,hffd_nadav,4,1,-0.4599999999999227,0.0011614210088737,120,2400
20,6,0.3,0.8,hffd_nadav,0,1,-0.0657137933810076,0.0010945009998977,120,2400
20,6,0.3,0.8,hffd_nadav,1,1,-0.0332993760439421,0.0012128220114391,120,2400
20,6,0.3,0.8,hffd_nadav,2,1,-0.0156442435340409,0.0010511380096431,120,2400
20,6,0.3,0.8,hffd_nadav,3,1,-0.1335912689637552,0.001398695007083,120,2400
20,6,0.3,0.8,hffd_nadav,4,1,-0.0281702808181307,0.0012577300076372,120,2400
20,6,0.3,1.0,hffd_nadav,0,1,-0.1122718290274065,0.0012435060052666,120,2400
20,6,0.3,1.0,hffd_nadav,1,1,-0.0004091069798164,0.0011251219984842,120,2400
20,6,0.3,1.0,hffd_nadav,2,1,-0.1091331699527131,0.001111938006943,120,2400
20,6,0.3,1.0,hffd_nadav,3,1,-0.0223524580281377,0.0020563589932862,120,2400
20,6,0.3,1.0,hffd_nadav,4,1,-0.0298795909149021,0.0011845550034195,120,2400
20,6,0.3,1.2,hffd_nadav,0,1,-0.2247298481328812,0.0012332260084804,120,2400
20,6,0.3,1.2,hffd_nadav,1,1,-0.0292832030727367,0.0018074769905069,120,2400
20,6,0.3,1.2,hffd_nadav,2,1,-0.0303161921505648,0.001275981994695,120,2400
20,6,0.3,1.2,hffd_nadav,3,1,-0.132478667098951,0.0011515340011101,120,2400
20,6,0.3,1.2,hffd_nadav,4,1,-0.0443738630213488,0.0010508720006328,120,2400
40,3,0.0,0.8,hffd_nadav,0,1,-0.8199999999999932,0.0021188039972912,120,4800
40,3,0.0,0.8,hffd_nadav,1,1,-0.1800000000000068,0.0023748249950585,120,4800
40,3,0.0,0.8,hffd_nadav,2,1,-0.0400000000000204,0.0021154670102987,120,4800
40,3,0.0,0.8,hffd_nadav,3,1,-0.3000000000000113,0.0020843370002694,120,4800
40,3,0.0,0.8,hffd_nadav,4,1,-0.8199999999999932,0.0027230730047449,120,4800
